datetime,open,high,low,close,volume
2025-07-20 16:00:00,3785.9,3824.04,3763.06,3809.01,7325.3925436
2025-07-20 17:00:00,3809.01,3809.01,3730.95,3738.23,7256.3073026
2025-07-20 18:00:00,3738.92,3757.4,3731.13,3750.04,3598.56078016
2025-07-20 19:00:00,3750.05,3773.0,3744.94,3749.93,3668.16238194
2025-07-20 20:00:00,3749.83,3754.23,3716.98,3740.14,4644.4137432
2025-07-20 21:00:00,3740.14,3772.42,3727.87,3770.12,3656.1881062
2025-07-20 22:00:00,3770.11,3771.32,3681.75,3746.93,7561.42280052
2025-07-20 23:00:00,3747.31,3768.01,3733.7,3756.99,3541.04707734
2025-07-21 00:00:00,3756.88,3756.89,3709.19,3746.68,4534.5118795
2025-07-21 01:00:00,3746.67,3753.24,3701.36,3723.81,3566.3612163
2025-07-21 02:00:00,3723.81,3749.56,3722.22,3743.28,3120.01688657
2025-07-21 03:00:00,3743.51,3766.1,3743.51,3757.18,2676.1140144
2025-07-21 04:00:00,3757.19,3779.3,3753.59,3761.63,3829.687465
2025-07-21 05:00:00,3761.63,3783.86,3747.56,3782.3,2995.2637805
2025-07-21 06:00:00,3782.31,3812.0,3776.49,3786.97,6312.026586
2025-07-21 07:00:00,3786.96,3811.44,3780.25,3787.68,3703.8122788
2025-07-21 08:00:00,3787.69,3811.26,3762.9,3777.6,3535.7338235
2025-07-21 09:00:00,3777.61,3785.44,3755.87,3772.09,3019.9591906
2025-07-21 10:00:00,3772.09,3821.65,3768.69,3810.92,4022.2161568
2025-07-21 11:00:00,3810.72,3839.5,3791.52,3808.96,5142.0123379
2025-07-21 12:00:00,3808.96,3826.02,3793.19,3810.8,3690.8307232
2025-07-21 13:00:00,3810.8,3823.62,3776.05,3819.44,5498.62215489
2025-07-21 14:00:00,3819.64,3857.43,3795.25,3840.99,6499.3670964
2025-07-21 15:00:00,3840.81,3851.96,3807.93,3810.28,4462.1237044
2025-07-21 16:00:00,3810.28,3817.41,3749.28,3767.99,7739.55531305
2025-07-21 17:00:00,3768.07,3789.92,3737.24,3769.64,4287.69347312
2025-07-21 18:00:00,3769.95,3800.0,3731.56,3737.41,3994.420986
2025-07-21 19:00:00,3737.32,3769.79,3719.41,3734.86,4525.7761901
2025-07-21 20:00:00,3736.27,3764.83,3719.65,3756.02,3335.35845759
2025-07-21 21:00:00,3755.44,3764.45,3744.71,3750.61,1719.8550818
2025-07-21 22:00:00,3750.61,3779.39,3746.5,3761.28,1682.6447887
2025-07-21 23:00:00,3761.3,3774.98,3748.68,3762.08,1576.867643
2025-07-22 00:00:00,3762.23,3775.67,3741.55,3743.1,2066.49582195
2025-07-22 01:00:00,3743.11,3798.5,3695.9,3794.2,6305.8000267
2025-07-22 02:00:00,3794.35,3795.0,3730.96,3737.45,2793.1265763
2025-07-22 03:00:00,3737.44,3744.98,3707.98,3731.96,3459.2415927
2025-07-22 04:00:00,3731.62,3734.09,3651.37,3655.19,5098.6513132
2025-07-22 05:00:00,3655.18,3697.04,3653.78,3689.92,3873.5437493
2025-07-22 06:00:00,3689.93,3716.77,3676.66,3690.68,2781.27660531
2025-07-22 07:00:00,3691.06,3713.65,3666.43,3677.23,3354.66184105
2025-07-22 08:00:00,3676.8,3676.8,3621.47,3649.84,6360.0136634
2025-07-22 09:00:00,3649.84,3667.38,3616.7,3660.54,4894.33839733
2025-07-22 10:00:00,3660.53,3697.98,3659.23,3697.98,2872.3387877
2025-07-22 11:00:00,3697.99,3719.47,3683.79,3705.84,3565.58946823
2025-07-22 12:00:00,3705.76,3711.18,3691.26,3701.43,2362.97330561
2025-07-22 13:00:00,3701.99,3706.48,3633.86,3647.49,5319.6765109
2025-07-22 14:00:00,3647.3,3706.98,3625.21,3706.03,4565.4641282
2025-07-22 15:00:00,3706.02,3728.7,3693.36,3717.83,4900.53415827
2025-07-22 16:00:00,3717.83,3748.74,3709.72,3717.22,3485.5830773
2025-07-22 17:00:00,3717.18,3721.37,3676.63,3699.84,3645.5414532
2025-07-22 18:00:00,3699.27,3723.89,3680.21,3711.14,3587.9405555
2025-07-22 19:00:00,3710.5,3719.9,3655.38,3669.96,3466.9336682
2025-07-22 20:00:00,3669.81,3710.66,3661.72,3706.36,3571.7708821
2025-07-22 21:00:00,3706.73,3710.85,3695.1,3705.53,1394.6505094
2025-07-22 22:00:00,3705.54,3730.6,3705.54,3719.97,2271.3899209
2025-07-22 23:00:00,3719.98,3750.87,3717.66,3746.31,2814.77560069
2025-07-23 00:00:00,3746.32,3762.0,3725.01,3725.89,3017.6280554
2025-07-23 01:00:00,3725.56,3741.76,3712.65,3739.07,1936.1130481
2025-07-23 02:00:00,3738.66,3763.92,3724.16,3745.29,3296.3673175
2025-07-23 03:00:00,3745.3,3758.75,3725.09,3728.5,2316.8608599
2025-07-23 04:00:00,3728.24,3735.54,3719.18,3734.85,1589.5606736
2025-07-23 05:00:00,3734.85,3737.49,3702.6,3714.4,1859.2480153
2025-07-23 06:00:00,3713.66,3715.66,3686.55,3695.42,2451.9332571
2025-07-23 07:00:00,3694.92,3699.66,3663.84,3673.75,3179.0981451
2025-07-23 08:00:00,3673.74,3692.64,3667.81,3692.28,2611.8803039
